"lanzamiento","estado","nivelEducativo","desempeño","nivelDelCurso"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Advanced"
"Winter","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Advanced"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Advanced"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Advanced"
"Winter","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Summer","Fail","Medio","mal","Intermediate"
"Summer","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Advanced"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Alto","mal","Advanced"
"Fall","Fail","Muy Alto","mal","Advanced"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","buen","Basic"
"Spring","Fail","Muy Alto","buen","Intermediate"
"Winter","Fail","Muy Alto","buen","Intermediate"
"Winter","Fail","Muy Alto","buen","Intermediate"
"Spring","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Advanced"
"Summer","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Spring","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Advanced"
"Spring","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","buen","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Advanced"
"Summer","Fail","Bajo","mal","Basic"
"Spring","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Basic"
"Spring","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Basic"
"Spring","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Advanced"
"Fall","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Advanced"
"Summer","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Basic"
"Spring","Fail","Bajo","mal","Advanced"
"Summer","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Advanced"
"Summer","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Advanced"
"Summer","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Advanced"
"Spring","Fail","Bajo","mal","Advanced"
"Winter","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Advanced"
"Fall","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Spring","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Intermediate"
"Summer","Fail","Bajo","mal","Basic"
"Summer","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Advanced"
"Summer","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Basic"
"Fall","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Advanced"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Spring","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","buen","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Advanced"
"Summer","Fail","Muy Alto","mal","Basic"
"Summer","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Advanced"
"Winter","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Muy Alto","mal","Basic"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Advanced"
"Summer","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Intermediate"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Fall","Fail","Muy Alto","buen","Intermediate"
"Spring","Fail","Muy Alto","buen","Basic"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Summer","Fail","Muy Alto","mal","Basic"
"Spring","Fail","Muy Alto","mal","Intermediate"
"Winter","Fail","Muy Alto","mal","Intermediate"
"Spring","Fail","Muy Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Advanced"
"Spring","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Advanced"
"Winter","Fail","Alto","mal","Advanced"
"Winter","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Advanced"
"Spring","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Advanced"
"Fall","Fail","Alto","mal","Advanced"
"Spring","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Advanced"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Advanced"
"Winter","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Very Advanced"
"Winter","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Advanced"
"Fall","Fail","Alto","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Spring","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Fall","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Spring","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Intermediate"
"Winter","Fail","Medio","mal","Intermediate"
"Spring","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Intermediate"
"Fall","Fail","Medio","mal","Advanced"
"Winter","Fail","Medio","mal","Advanced"
"Spring","Fail","Medio","mal","Advanced"
"Winter","Fail","Medio","mal","Advanced"
"Winter","Fail","Medio","mal","Basic"
"Fall","Fail","Medio","mal","Basic"
"Winter","Fail","Medio","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Advanced"
"Winter","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Advanced"
"Fall","Fail","Bajo","mal","Advanced"
"Winter","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Advanced"
"Fall","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Advanced"
"Spring","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Spring","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Advanced"
"Winter","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Basic"
"Fall","Fail","Bajo","mal","Intermediate"
"Winter","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Intermediate"
"Spring","Fail","Bajo","mal","Intermediate"
"Fall","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Basic"
"Winter","Fail","Bajo","mal","Advanced"
"Winter","Fail","Medio","mal","Very Advanced"
"Summer","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Advanced"
"Fall","Fail","Muy Bajo","buen","Intermediate"
"Summer","Fail","Muy Bajo","buen","Intermediate"
"Summer","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Basic"
"Summer","Fail","Muy Bajo","mal","Basic"
"Summer","Fail","Muy Bajo","mal","Basic"
"Fall","Fail","Muy Bajo","mal","Basic"
"Summer","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Summer","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Very Advanced"
"Summer","Fail","Muy Bajo","mal","Basic"
"Winter","Fail","Muy Bajo","mal","Basic"
"Fall","Fail","Muy Bajo","mal","Basic"
"Summer","Fail","Muy Bajo","mal","Basic"
"Fall","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Alto","buen","Basic"
"Summer","Fail","Alto","buen","Basic"
"Winter","Fail","Alto","buen","Basic"
"Spring","Fail","Alto","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Summer","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Advanced"
"Winter","Fail","Muy Bajo","mal","Advanced"
"Spring","Fail","Muy Bajo","mal","Very Advanced"
"Winter","Fail","Muy Bajo","mal","Advanced"
"Spring","Fail","Muy Bajo","mal","Very Advanced"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Summer","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Advanced"
"Summer","Fail","Muy Bajo","buen","Intermediate"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Winter","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Advanced"
"Summer","Fail","Muy Bajo","mal","Advanced"
"Summer","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Summer","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Summer","Fail","Muy Bajo","mal","Intermediate"
"Spring","Fail","Muy Bajo","mal","Basic"
"Spring","Fail","Muy Bajo","mal","Intermediate"
"Fall","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Intermediate"
"Winter","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Intermediate"
"Fall","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Basic"
"Spring","Fail","Alto","mal","Advanced"
"Summer","Fail","Alto","mal","Advanced"
"Spring","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","mal","Advanced"
"Summer","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Intermediate"
"Summer","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Intermediate"
"Spring","Fail","Alto","mal","Basic"
"Fall","Fail","Alto","mal","Basic"
"Winter","Fail","Alto","mal","Basic"
"Summer","Fail","Alto","buen","Intermediate"
"Summer","Fail","Alto","mal","Intermediate"
